Model,Scheduler,Test Loss,Test Accuracy,Best Train Acc,Best Val Acc,Training time,Test time,Epochs,Time/Epoch,Epoches to Get 99% Val Acc,Time to Get 99% Val Acc,Params,Size
lenet,plateau,0.0248,99.22,95.31,99.29,847.30,5.05,50,16.95,23,389.76,44426,181990
lenet,cosine,0.0282,98.97,95.15,99.19,874.03,5.43,50,17.48,27,471.97,44426,181976
alexnet,plateau,0.0190,99.58,99.63,99.92,2019.77,6.26,44,45.90,2,91.81,28513994,114062434
alexnet,cosine,0.0229,99.53,99.31,99.83,1346.54,6.42,29,46.43,6,278.59,28513994,114062414
resnet18,plateau,0.0112,99.61,99.51,99.88,1498.09,7.66,46,32.57,7,227.97,11175370,44783062
resnet18,cosine,0.0116,99.62,99.57,99.92,1451.08,7.27,43,33.75,8,269.97,11175370,44782936
googlenet,plateau,0.0130,99.55,99.57,99.89,2391.82,8.08,50,47.84,10,478.36,5987802,24146692
googlenet,cosine,0.0097,99.67,99.65,99.92,2328.33,8.60,50,46.57,8,372.53,5987802,24146294
vgg11,plateau,0.0134,99.59,99.58,99.88,766.77,6.71,38,20.18,6,121.07,1524874,6106582
vgg11,cosine,0.0142,99.62,99.67,99.89,875.79,5.49,50,17.52,4,70.06,1524874,6106560
efficientnet,plateau,0.0122,99.62,99.20,99.91,2611.97,7.92,50,52.24,8,417.92,7143882,28869058
efficientnet,cosine,0.0106,99.69,99.40,99.85,2499.28,8.33,48,52.07,10,520.68,7143882,28868662
mnasnet,plateau,0.0146,99.52,99.04,99.80,1527.24,6.18,50,30.54,19,580.35,1620278,6682796
mnasnet,cosine,0.0189,99.38,99.14,99.85,1522.04,6.15,50,30.44,17,517.49,1620278,6682458
mobilenetv3,plateau,0.0192,99.35,99.02,99.83,1159.36,5.88,46,25.20,16,403.26,924002,3826350
mobilenetv3,cosine,0.0177,99.40,99.24,99.83,1257.59,5.75,50,25.15,13,326.97,924002,3826122
shufflenetv2,plateau,0.0207,99.31,98.67,99.74,1416.82,5.82,50,28.34,18,510.06,329017,1472798
shufflenetv2,cosine,0.0187,99.40,98.82,99.80,1404.25,5.79,50,28.08,16,449.36,329017,1471368
squeezenet,plateau,0.0157,99.55,99.19,99.79,1066.01,5.80,50,21.32,16,341.12,732362,3018270
squeezenet,cosine,0.0104,99.65,99.31,99.88,1072.94,5.78,50,21.46,18,386.26,732362,3018089
